,model,device,task,sequence_length,latency,network_latency,compute_latency,api
0,ms-marco-minilm-l-6-v2,cpu,ranking,8,0.3718940258026123,0.36790028880261233,0.003993737,Hugging Face Infinity
1,ms-marco-minilm-l-6-v2,cpu,ranking,16,0.36476597785949705,0.35778665955949707,0.0069793183000000005,Hugging Face Infinity
2,ms-marco-minilm-l-6-v2,cpu,ranking,32,0.378259539604187,0.357610664704187,0.0206488749,Hugging Face Infinity
3,ms-marco-minilm-l-6-v2,cpu,ranking,64,0.3908907651901245,0.3600760425901245,0.030814722600000004,Hugging Face Infinity
4,ms-marco-minilm-l-6-v2,cpu,ranking,128,0.40142505168914794,0.3593852602891479,0.042039791400000005,Hugging Face Infinity
5,ms-marco-minilm-l-6-v2,cpu,ranking,256,0.4041325807571411,0.3601237341571411,0.0440088466,Hugging Face Infinity
6,ms-marco-minilm-l-6-v2,cpu,ranking,512,0.40582709312438964,0.3559284133243896,0.0498986798,Hugging Face Infinity
7,ms-marco-minilm-l-6-v2,gpu,ranking,8,0.3546824216842651,0.3528240265842651,0.0018583951000000001,Hugging Face Infinity
8,ms-marco-minilm-l-6-v2,gpu,ranking,16,0.35616326332092285,0.35427202842092287,0.0018912348999999998,Hugging Face Infinity
9,ms-marco-minilm-l-6-v2,gpu,ranking,32,0.35360739231109617,0.35126467981109616,0.0023427125000000004,Hugging Face Infinity
10,ms-marco-minilm-l-6-v2,gpu,ranking,64,0.35691783428192136,0.3535339686819214,0.0033838656,Hugging Face Infinity
11,ms-marco-minilm-l-6-v2,gpu,ranking,128,0.35673036575317385,0.35151344865317385,0.005216917099999999,Hugging Face Infinity
12,ms-marco-minilm-l-6-v2,gpu,ranking,256,0.3575937509536743,0.3500274020536743,0.0075663489,Hugging Face Infinity
13,ms-marco-minilm-l-6-v2,gpu,ranking,512,0.36916911602020264,0.35494762142020264,0.0142214946,Hugging Face Infinity
14,all-minilm-l6-v2,cpu,embedding,8,0.3551914691925049,0.35241977149250486,0.0027716977000000003,Hugging Face Infinity
15,all-minilm-l6-v2,cpu,embedding,16,0.358392333984375,0.354338011284375,0.0040543227,Hugging Face Infinity
16,all-minilm-l6-v2,cpu,embedding,32,0.35989139080047605,0.35308726720047606,0.006804123600000001,Hugging Face Infinity
17,all-minilm-l6-v2,cpu,embedding,64,0.3663470268249512,0.3541230189249512,0.012224007899999998,Hugging Face Infinity
18,all-minilm-l6-v2,cpu,embedding,128,0.3888342618942261,0.3584848886942261,0.0303493732,Hugging Face Infinity
